1704,235,1832,235,1832,306,1704,306
435,242,513,242,513,313,435,313
734,249,805,249,805,313,734,313
891,249,955,249,955,313,891,313
1034,249,1397,249,1397,313,1034,313
267,363,336,363,346,1797,278,1797
1497,356,1569,356,1569,1611,1497,1611
1683,363,1740,363,1740,606,1683,606
1761,363,1832,363,1832,1790,1761,1790
356,363,427,363,427,1797,356,1797
442,370,513,370,513,463,442,463
527,363,602,363,610,1797,534,1797
711,370,781,370,790,1790,720,1790
795,371,864,370,876,1789,807,1790
887,370,955,370,963,1790,896,1790
966,363,1041,363,1051,1789,977,1790
1059,371,1127,370,1139,1790,1071,1790
1155,370,1212,370,1212,841,1155,841
1319,363,1397,363,1397,1790,1319,1790
1590,370,1654,370,1654,841,1590,841
88,378,158,377,173,1768,103,1769
185,377,249,377,249,1804,185,1804
614,370,690,370,699,1797,623,1797
1419,377,1483,377,1483,1761,1419,1761
1240,385,1305,385,1305,1790,1240,1790
14,392,78,392,78,1797,14,1797
449,484,513,484,513,1790,449,1790
1875,477,1947,477,1947,1533,1875,1533
1674,606,1742,606,1751,2538,1683,2539
1576,834,1654,834,1662,1782,1584,1783
1142,841,1219,841,1227,1789,1150,1790
1504,1668,1576,1668,1576,2061,1504,2061
984,1818,1048,1818,1048,3252,984,3252
1154,1818,1225,1818,1234,3252,1163,3252
1240,1811,1312,1811,1312,3245,1240,3245
449,1818,520,1818,520,3252,449,3252
705,1818,782,1818,791,3252,714,3252
898,1825,962,1825,962,3237,898,3237
1069,1825,1141,1825,1141,3245,1069,3245
1326,1818,1397,1818,1397,3237,1326,3237
1768,1825,1832,1825,1832,3223,1768,3223
21,1832,78,1832,78,3245,21,3245
92,1825,171,1825,171,3259,92,3259
271,1825,342,1825,342,3259,271,3259
356,1825,435,1825,435,3252,356,3252
542,1832,606,1832,606,3259,542,3259
627,1825,698,1825,698,3245,627,3245
1412,1825,1490,1825,1490,3237,1412,3237
178,1832,256,1832,256,3259,178,3259
796,1833,869,1832,879,3244,806,3245
1590,1932,1661,1932,1661,3066,1590,3066
1504,2111,1576,2111,1576,3245,1504,3245
